Output File                                                        Name                                        Type       FSH File                                      Lines
Account-AbrechnungsfallDRG.json                                    AbrechnungsfallDRG                          Instance   ISiKAbrechnungsfall.fsh                       42 - 60
Binary-Binary-JPEG-Example-short.json                              Binary-JPEG-Example-short                   Instance   ISiKBinary.fsh                                17 - 21
Binary-Binary-JPEG-Example.json                                    Binary-JPEG-Example                         Instance   ISiKBinary.fsh                                30 - 34
Binary-Binary-PDF-Example-short.json                               Binary-PDF-Example-short                    Instance   ISiKBinary.fsh                                23 - 28
Binary-Binary-PDF-Example.json                                     Binary-PDF-Example                          Instance   ISiKBinary.fsh                                36 - 41
Bundle-ISiKBundle-Example.json                                     ISiKBundle-Example                          Instance   ISiKBerichtBundle.fsh                         24 - 38
CapabilityStatement-ISiKCapabilityStatementBasisServer.json        ISiKCapabilityStatementBasisServer          Instance   ISiKCapabilityStatement.fsh                   1 - 672
CodeSystem-CodeSystemExample.json                                  CodeSystemExample                           Instance   ISiKCodeSystem.fsh                            16 - 26
Composition-composition-blutdruck.json                             composition-blutdruck                       Instance   ISiKBerichtSubSysteme.fsh                     76 - 94
Condition-AltersbedingteKreislaufstoerung.json                     AltersbedingteKreislaufstoerung             Instance   ISiKDiagnose.fsh                              133 - 144
Condition-BehandlungsDiagnoseFreitext.json                         BehandlungsDiagnoseFreitext                 Instance   ISiKDiagnose.fsh                              124 - 131
Condition-Example-condition-ausrufezeichen-primaer.json            Example-condition-ausrufezeichen-primaer    Instance   ISiKDiagnose.fsh                              58 - 67
Condition-Example-condition-ausrufezeichen-sekundaer.json          Example-condition-ausrufezeichen-sekundaer  Instance   ISiKDiagnose.fsh                              69 - 82
Condition-Example-condition-kreuz-stern-primaer.json               Example-condition-kreuz-stern-primaer       Instance   ISiKDiagnose.fsh                              84 - 96
Condition-Example-condition-kreuz-stern-sekundaer.json             Example-condition-kreuz-stern-sekundaer     Instance   ISiKDiagnose.fsh                              98 - 111
Condition-MittelgradigeIntelligenzminderung.json                   MittelgradigeIntelligenzminderung           Instance   ISiKDiagnose.fsh                              113 - 122
Coverage-CoverageGesetzlich.json                                   CoverageGesetzlich                          Instance   ISiKVersicherungsverhaeltnisGesetzlich.fsh    43 - 52
Coverage-CoveragePrivat.json                                       CoveragePrivat                              Instance   ISiKVersicherungsverhaeltnisSelbstzahler.fsh  16 - 22
Encounter-Fachabteilungskontakt.json                               Fachabteilungskontakt                       Instance   ISiKKontaktGesundheitseinrichtung.fsh         135 - 172
Encounter-FachabteilungskontaktMinimal.json                        FachabteilungskontaktMinimal                Instance   ISiKBerichtBundle.fsh                         55 - 68
Patient-PatientinMusterfrau.json                                   PatientinMusterfrau                         Instance   ISiKPatient.fsh                               119 - 169
Patient-PatientinMusterfrauMinimal.json                            PatientinMusterfrauMinimal                  Instance   ISiKBerichtBundle.fsh                         41 - 53
Practitioner-PractitionerWalterArzt.json                           PractitionerWalterArzt                      Instance   ISiKPersonImGesundheitsberuf.fsh              92 - 127
Procedure-Appendektomie.json                                       Appendektomie                               Instance   ISiKProzedur.fsh                              51 - 64
RelatedPerson-ISiKAngehoerigerMustermann.json                      ISiKAngehoerigerMustermann                  Instance   ISiKAngehoeriger.fsh                          47 - 57
SearchParameter-Encounter-date-start.json                          Encounter-date-start                        Instance   ISiKKontaktGesundheitseinrichtung.fsh         215 - 233
SearchParameter-Encounter-end-date.json                            Encounter-end-date                          Instance   ISiKKontaktGesundheitseinrichtung.fsh         235 - 253
StructureDefinition-ISiKAbrechnungsfall.json                       ISiKAbrechnungsfall                         Profile    ISiKAbrechnungsfall.fsh                       1 - 28
