Name                                        Type       File
Example-condition-ausrufezeichen-primaer    Instance   ISiKDiagnose.fsh
Example-condition-ausrufezeichen-sekundaer  Instance   ISiKDiagnose.fsh
Example-condition-kreuz-stern-primaer       Instance   ISiKDiagnose.fsh
Example-condition-kreuz-stern-sekundaer     Instance   ISiKDiagnose.fsh
ISiK-capabilityStatement-basis-server       Instance   instances.fsh
ISiK-docBundle-1                            Invariant  ISiKBerichtBundle.fsh
ISiK-enc-1                                  Invariant  ISiKKontaktGesundheitseinrichtung.fsh
ISiKAngehoeriger                            Profile    ISiKAngehoeriger.fsh
ISiKBerichtBundle                           Profile    ISiKBerichtBundle.fsh
ISiKBerichtSubSysteme                       Profile    ISiKBerichtSubSysteme.fsh
ISiKDiagnose                                Profile    ISiKDiagnose.fsh
ISiKKontaktGesundheitseinrichtung           Profile    ISiKKontaktGesundheitseinrichtung.fsh
ISiKPatient                                 Profile    ISiKPatient.fsh
ISiKPersonImGesundheitsberuf                Profile    ISiKPersonImGesundheitsberuf.fsh
ISiKProzedur                                Profile    ISiKProzedur.fsh
ISiKVersicherungsverhaeltnisGesetzlich      Profile    ISiKVersicherungsverhaeltnisGesetzlich.fsh
ISiKVersicherungsverhaeltnisSelbstzahler    Profile    ISiKVersicherungsverhaeltnisSelbstzahler.fsh
KVDT                                        Mapping    mappings.fsh
ProzedurenCodes-SCT                         ValueSet   valueSets.fsh
ProzedurenKategorie-SCT                     ValueSet   valueSets.fsh
composition-blutdruck                       Instance   ISiKBerichtSubSysteme.fsh
condition                                   Instance   ISiKDiagnose.fsh
coverageGesetzlich                          Instance   ISiKVersicherungsverhaeltnisGesetzlich.fsh
coveragePrivat                              Instance   ISiKVersicherungsverhaeltnisSelbstzahler.fsh
diagnoses-sct                               ValueSet   valueSets.fsh
encounter                                   Instance   ISiKKontaktGesundheitseinrichtung.fsh
icd-text-1                                  Invariant  ISiKDiagnose.fsh
isik-con1                                   Invariant  ISiKDiagnose.fsh
isik-pat-1                                  Invariant  ISiKPatient.fsh
kdl-1                                       Invariant  ISiKBerichtSubSysteme.fsh
pat-cnt-2or3-char                           Invariant  invariants.fsh
patient                                     Instance   ISiKPatient.fsh
prac-de-1                                   Invariant  ISiKPersonImGesundheitsberuf.fsh
practitioner                                Instance   ISiKPersonImGesundheitsberuf.fsh
proc-ISiK-1                                 Invariant  ISiKProzedur.fsh
proc-ISiK-2                                 Invariant  ISiKProzedur.fsh
proc-ISiK-3                                 Invariant  ISiKProzedur.fsh
procedure                                   Instance   ISiKProzedur.fsh
relatedPerson                               Instance   ISiKAngehoeriger.fsh
relatedp-de-1                               Invariant  ISiKAngehoeriger.fsh
sct-ops-1                                   Invariant  ISiKProzedur.fsh
