Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-basis.json	6001	-	0	0	0	0	0	0	15	73	0	0	1	0	0	0	0	1	0	0	234	180	0	0	0	11	0	1
input/resources/Account-AbrechnungsfallDRG.json	1736	8	0	0	1	0	0	0	0	1054	0	0	0	0	0	0	0	0	0	0	21	18	0	0	0	0	0	0
input/resources/Account-AbrechnungsfallGonarthrose.json	745	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0
input/resources/Account-SZ1DRGFall.json	1569	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	18	11	0	0	0	0	0	0
input/resources/Account-SZ2DRGFall.json	1660	5	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	15	12	0	0	0	0	0	0
input/resources/AllergyIntolerance-ISiKAllergieUnvertraeglichkeitBeispiel1.json	1861	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	13	19	0	0	0	0	0	0
input/resources/Bundle-BundleExampleIntensivstation.json	20975	11	42	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	40	52	0	0	0	0	0	0
input/resources/Bundle-ISiKBundle-Example.json	5196	7	3	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	20	19	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementAufbaustrukturRolle.json	23556	7	0	0	0	0	1	0	2	56	0	0	0	0	0	0	0	0	0	0	76	80	0	0	0	3	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementBasisServerAkteur-expanded.json	137090	14	0	0	0	0	0	0	10	150	0	0	0	0	0	0	0	1	0	0	297	187	0	1	0	9	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementBasisServerAkteur.json	6321	5	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	30	19	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementCompositionKonsumentenRolle.json	2358	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	22	10	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementErweiterteStammdatenRolle.json	12085	5	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	34	24	0	0	0	5	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementGesundheitsstatusRolle.json	25972	7	0	0	0	0	0	0	2	28	0	0	0	0	0	0	0	0	0	0	63	40	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementKlinischeRolle.json	22845	6	0	0	0	0	0	0	2	25	0	0	0	0	0	0	0	0	0	0	53	36	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementLeistungserbringerRolle.json	13917	6	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	44	28	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementStammdatenRolle.json	21476	6	0	0	1	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	54	35	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementTerminologieRolle.json	15437	6	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	42	30	0	0	0	2	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementVersicherungsverhaeltnisRolle.json	27523	6	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	63	38	0	0	0	3	0	0
input/resources/CodeSystem-CodeSystemExample.json	890	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	11	465	0	0	0	0	0	0
input/resources/Condition-AltersbedingteKreislaufstoerung.json	1006	5	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	12	23	0	0	0	0	0	0
input/resources/Condition-BehandlungsDiagnoseFreitext.json	534	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0
input/resources/Condition-Example-condition-ausrufezeichen-primaer.json	880	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	0
input/resources/Condition-Example-condition-ausrufezeichen-sekundaer.json	1542	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	22	16	0	0	0	0	0	0
input/resources/Condition-Example-condition-kreuz-stern-primaer.json	1206	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0
input/resources/Condition-Example-condition-kreuz-stern-sekundaer.json	1640	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0
input/resources/Condition-MittelgradigeIntelligenzminderung.json	786	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	18	0	0	0	0	0	0
input/resources/Condition-PrimaereGonarthroseMinimal.json	580	4	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	15	16	0	0	0	0	0	0
input/resources/Condition-PrimaereGonarthroseNormal.json	1140	5	0	0	0	0	0	0	0	731	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	0
input/resources/Condition-SZ2Primaerdiagnose.json	923	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0
input/resources/Condition-SZ2Sekundaerdiagnose.json	1057	4	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	18	0	0	0	0	0	0
input/resources/Coverage-CoverageGesetzlich.json	817	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	20	0	0	0	0	0	0
input/resources/Coverage-CoveragePrivat.json	519	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0
input/resources/Coverage-CoverageSonstige.json	508	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0
input/resources/Coverage-SZ1VersicherungGesetzlich.json	1152	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0
