Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-vitalparameter.json	54367	-	0	0	0	0	0	0	16	74	0	0	0	0	0	0	0	0	0	0	215	210	0	1	0	16	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementLaborMinimalRolle.json	13068	6	0	0	1	0	0	0	2	39	0	0	0	0	0	0	0	1	0	0	54	54	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementStammdatenRolle.json	21476	6	0	0	0	0	0	0	2	43	0	0	0	0	0	0	0	0	0	0	82	39	0	0	0	3	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignStandardSourceAkteur-expanded.json	38103	3	0	0	0	0	0	0	3	39	0	0	0	0	0	0	0	0	0	0	94	57	0	0	0	4	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignStandardSourceAkteur.json	4938	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	17	15	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignStandardSourceRolle.json	14192	4	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	40	27	0	1	0	3	0	1
input/resources/CodeSystem-ISiKBehandlungsergebnisRehaCS.json	990	2	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	13	482	0	0	0	1	0	0
input/resources/CodeSystem-ISiKBesondereBehandlungsformRehaCS.json	1112	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	57	0	0	0	0	0	0
input/resources/CodeSystem-ISiKEntlassformRehaCS.json	2260	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	53	0	0	0	2	0	0
input/resources/CodeSystem-ISiKUnterbrechungRehaCS.json	1246	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	39	0	0	0	0	0	0
input/resources/Encounter-Fachabteilungskontakt.json	4310	3	0	0	1	0	0	0	1	1034	0	0	0	0	0	0	0	0	0	0	23	19	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktBettenverlegung.json	3005	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktEntlassung.json	2466	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktFachbereichswechsel1.json	3047	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktFachbereichswechsel2.json	2492	4	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktMinimal2.json	808	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktNormal.json	5208	2	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	21	14	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktStationaereAufnahme.json	2482	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktStationswechsel1.json	2525	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktStationswechsel2.json	2475	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	18	9	0	0	0	0	0	0
input/resources/Encounter-SZ1Nachstationaer.json	1328	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
input/resources/Encounter-SZ1Stationaer.json	2680	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0
input/resources/Encounter-SZ1Vorstationaer.json	1325	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
input/resources/Encounter-SZ2Encounter.json	1327	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
input/resources/Observation-ExampleISiKLaboruntersuchungCRP1.json	1217	3	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0
input/resources/Observation-ExampleISiKLaboruntersuchungGFR1.json	1303	2	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	11	15	0	0	0	0	0	0
input/resources/Observation-ExampleISiKLaboruntersuchungHb1.json	1496	2	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
input/resources/Observation-ExampleISiKLaboruntersuchungPCT1.json	1127	2	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	1	0	0	10	9	0	0	0	0	0	0
input/resources/Observation-ExampleISiKLaboruntersuchungSerumkreatinin1.json	1504	2	0	0	0	0	0	0	1	193	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
input/resources/Observation-ExampleISiKLaboruntersuchungTSH1.json	1278	2	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
input/resources/Observation-ExampleISiKLaboruntersuchungThrombozyten1.json	1279	2	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
input/resources/Observation-ExampleISiKLaboruntersuchungTroponin1.json	1142	2	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
input/resources/Observation-ExtractedObservationKoerpergewicht.json	864	2	0	0	0	0	0	0	0	764	0	0	0	0	0	0	0	0	0	0	14	7	0	0	0	0	0	0
input/resources/Observation-ExtractedObservationKoerpergroesse.json	863	2	0	0	0	0	0	0	1	812	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
