URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.de/CodeSystem/KontaktDiagnoseProzedur,1.6.0,active,,KontaktDiagnoseProzedur,KontaktDiagnoseProzedur,"Dieses CodeSystem beschreibt fachliche Rollen von Diagnosen und Prozedurbezügen im Versorgungskontext. Es dient der semantischen Einordnung, welche Relevanz eine Diagnose innerhalb eines Kontakts oder Abrechnungsfalls hat.","ValueSet/DiagnoseTyp,ValueSet/Diagnosesubtyp"
http://fhir.de/CodeSystem/Kontaktebene,1.6.0,active,,Kontaktebene,Kontaktebene,"Dieses CodeSystem beschreibt die Ebene, auf der ein Kontakt mit einer Gesundheitseinrichtung modelliert wird. Es dient der Abgrenzung zwischen Einrichtungs-, Abteilungs- und Versorgungsstellenkontakten.","ValueSet/kontaktebene-de"
http://fhir.de/CodeSystem/bfarm/ops,null,active,,OPS,OPS,"OPS Platzhalter-CodeSystem","ValueSet/ProzedurenReanimationCodesOPS"
http://fhir.de/CodeSystem/dgkev/Aufnahmeanlass,1.6.0,active,,CodeSystemAufnahmeanlass,CodeSystemAufnahmeanlass,"Dieses CodeSystem beschreibt den Anlass einer Krankenhausaufnahme gemäß § 301 Abs. 3 SGB V. Es dient der einheitlichen Kennzeichnung des Aufnahmewegs bzw. Aufnahmeanlasses, z. B. Einweisung, Notfall, Verlegung, Geburt oder Mitaufnahme.","ValueSet/AufnahmeanlassVS"
http://fhir.de/CodeSystem/dkgev/AufnahmegrundDritteStelle,1.6.0,active,,AufnahmegrundDritteStelle,AufnahmegrundDritteStelle,"Dieses CodeSystem stellt die dritte Stelle des Aufnahmegrundes nach § 301 Abs. 3 SGB V bereit. Es dient der Codierung besonderer Aufnahme- und Abrechnungskonstellationen, z. B. Zuständigkeitswechsel des Kostenträgers oder integrierte Versorgung.","ValueSet/AufnahmegrundDritteStelleVS"
http://fhir.de/CodeSystem/dkgev/AufnahmegrundErsteUndZweiteStelle,1.6.0,active,,CodeSystemAufnahmegrundErsteUndZweiteStelle,CodeSystemAufnahmegrundErsteUndZweiteStelle,"Dieses CodeSystem stellt die erste und zweite Stelle des Aufnahmegrundes nach § 301 Abs. 3 SGB V bereit. Es dient der Codierung der grundlegenden Aufnahmeart, z. B. vollstationäre Krankenhausbehandlung, teilstationäre Behandlung, Geburt, stationsäquivalente Behandlung oder Übergangspflege.","ValueSet/AufnahmegrundErsteUndZweiteStelleVS"
http://fhir.de/CodeSystem/dkgev/AufnahmegrundVierteStelle,1.6.0,active,,AufnahmegrundVierteStelle,AufnahmegrundVierteStelle,"Dieses CodeSystem stellt die vierte Stelle des Aufnahmegrundes nach § 301 Abs. 3 SGB V bereit. Es dient der Codierung des aufnahmebezogenen Grundtyps, z. B. Normalfall, Unfall-/Gewaltbezug, BVG-Leiden oder Notfall.","ValueSet/AufnahmegrundVierteStelleVS"
http://fhir.de/CodeSystem/dkgev/Fachabteilungsschluessel,1.6.0,active,,CodeSystemFachabteilungsschluessel,Fachabteilungsschluessel,"Dieses CodeSystem bildet die Fachabteilungsschlüssel gemäß Anhang 1 BPflV in der am 31.12.2003 geltenden Fassung ab. Es dient der fachlichen Zuordnung von Krankenhausbereichen in Verwaltungs-, Abrechnungs- und Versorgungsprozessen.","ValueSet/FachabteilungsschluesselVS"
http://fhir.de/CodeSystem/dkgev/Fachabteilungsschluessel-erweitert,1.6.0,active,,CodeSystemFachabteilungsschluesselErweitert,Fachabteilungsschluessel Erweitert,"Dieses CodeSystem bildet die Fachabteilungsschlüssel gemäß Anhang 1 BPflV in der am 31.12.2003 geltenden Fassung einschließlich Spezialisierungen ab. Es dient einer feineren fachlichen Differenzierung von Krankenhausabteilungen als der Basisschlüssel.","ValueSet/FachabteilungsschluesselErweitert"
http://fhir.de/CodeSystem/identifier-type-de-basis,1.6.0,active,,IdentifierTypeDeBasis,Identifier Type De Basis,"Dieses CodeSystem ergänzt die allgemeinen Identifier-Typen um im deutschen Basisprofil benötigte fachliche Identifierkategorien. Es dient der präzisen Typisierung national gebräuchlicher Kennungen.","ValueSet/identifier-type-de-basis,ValueSet/identifier-type-kvid-de-basis"
