Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-icu.json	147179	-	0	0	1	0	0	0	15	37	0	0	0	0	0	0	0	1	0	0	0	1082	703	0	0	0	12	0	5
input/resources/CapabilityStatement-ISiKCapabilityStatementLaborMinimalRolle.json	18816	5	0	0	1	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	285	53	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementOrganspendeerkennungSourceRolle.json	37164	4	0	0	0	0	0	0	2	22	0	0	0	0	0	0	0	1	0	0	0	85	51	0	0	0	2	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementStammdatenRolle.json	28032	2	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	80	40	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceExtendedAkteur-expanded.json	94102	7	0	0	0	0	0	0	2	32	0	0	0	0	0	0	0	0	0	0	0	322	97	0	1	0	5	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceExtendedAkteur.json	5824	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	171	9	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceExtendedRolle.json	39123	4	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	0	108	41	0	0	0	3	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceMinimalAkteur-expanded.json	62727	4	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	0	80	54	0	0	0	3	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceMinimalAkteur.json	5563	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	27	7	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceMinimalRolle.json	28337	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	91	24	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignStandardSourceRolle.json	19264	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	43	21	0	1	0	2	0	0
