Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-amts.json	97066	-	0	0	0	0	0	0	15	65	0	0	0	0	0	0	0	1	0	0	0	370	653	0	0	0	9	0	4
input/resources/AllergyIntolerance-ISiKAllergieUnvertraeglichkeitBeispiel1.json	1846	4	0	0	0	0	0	0	0	1063	0	0	0	0	0	0	0	0	0	0	0	24	38	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementAMTSAkteur-expanded.json	198722	19	0	0	2	0	0	0	15	163	0	0	0	0	0	0	0	2	0	0	0	499	409	0	2	0	9	0	3
input/resources/CapabilityStatement-ISiKCapabilityStatementAMTSAkteur.json	8312	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	37	19	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementAMTSRolle.json	34108	2	0	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	0	116	60	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementAMTSWRITERolle.json	5890	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	38	21	0	0	0	1	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementGesundheitsstatusRolle.json	28045	2	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	0	96	66	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementKlinischeRolle.json	25522	2	0	0	0	0	0	0	2	16	0	0	0	0	0	0	0	0	0	0	0	92	61	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementLaborMinimalRolle.json	18846	1	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	72	36	0	0	0	1	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementLeistungserbringerRolle.json	24992	2	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	0	89	50	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikamentRolle.json	13591	1	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	52	26	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikamentWRITERolle.json	3960	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	25	14	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationInformationRolle.json	30734	2	0	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	0	0	0	81	44	0	0	0	1	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationInformationWRITERolle.json	4868	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	24	17	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerabreichungRolle.json	19160	2	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	1	0	0	0	76	31	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerabreichungWRITERolle.json	3902	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	21	15	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerordnungRolle.json	20400	1	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	52	31	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerordnungWRITERolle.json	3777	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	22	14	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementStammdatenRolle.json	27894	1	0	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	0	0	0	72	51	0	1	0	2	0	1
input/resources/CodeSystem-ISiKBehandlungsergebnisRehaCS.json	1013	1	0	0	1	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	12	95	0	0	0	0	0	0
input/resources/CodeSystem-ISiKBesondereBehandlungsformRehaCS.json	1135	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	13	106	0	0	0	0	0	0
input/resources/CodeSystem-ISiKEncounterTypeErweiterungCS.json	926	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	86	0	0	0	1	0	0
input/resources/CodeSystem-ISiKEntlassformRehaCS.json	2283	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	16	75	0	0	0	0	0	0
input/resources/CodeSystem-ISiKMedikationsartCS.json	633	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	55	0	0	0	0	0	0
input/resources/CodeSystem-ISiKUnterbrechungRehaCS.json	1269	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	12	80	0	0	0	0	0	0
input/resources/Condition-AkuteInfektionDerOberenAtemwege.json	812	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	12	23	0	0	0	0	0	0
input/resources/Condition-AltersbedingteKreislaufstoerung.json	1006	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0
input/resources/Condition-BehandlungsDiagnoseFreitext.json	534	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	19	0	0	0	0	0	0
input/resources/Condition-Example-condition-ausrufezeichen-primaer.json	880	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	11	17	0	0	0	0	0	0
input/resources/Condition-Example-condition-ausrufezeichen-sekundaer.json	1542	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	12	19	0	0	0	0	0	0
input/resources/Condition-Example-condition-kreuz-stern-primaer.json	1206	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0
input/resources/Condition-Example-condition-kreuz-stern-sekundaer.json	1640	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	12	18	0	0	0	0	0	0
input/resources/Condition-PrimaereGonarthroseMinimal.json	580	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
input/resources/Condition-PrimaereGonarthroseNormal.json	1140	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
input/resources/Condition-SZ2Primaerdiagnose.json	923	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
input/resources/Condition-SZ2Sekundaerdiagnose.json	1057	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11	16	0	0	0	0	0	0
input/resources/Encounter-Fachabteilungskontakt.json	4310	2	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	18	39	0	0	1	0	0	0
input/resources/Encounter-FachabteilungskontaktBettenverlegung.json	3005	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	15	31	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktEntlassung.json	2506	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	13	18	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktFachbereichswechsel1.json	3047	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	15	18	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktFachbereichswechsel2.json	2492	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktMinimal2.json	908	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktNormal.json	5208	1	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	20	26	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktStationaereAufnahme.json	2482	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktStationswechsel1.json	2525	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktStationswechsel2.json	2475	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
input/resources/Encounter-SZ1Nachstationaer.json	1328	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0
input/resources/Encounter-SZ1Stationaer.json	2680	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	14	17	0	0	0	0	0	0
