Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-basis.json	89361	-	0	0	1	0	0	0	26	49	0	0	0	0	0	0	0	0	0	0	0	360	454	0	0	0	11	0	1
input/resources/Account-AbrechnungsfallAmbulantMvzImKrankenhaus.json	1789	3	0	0	0	0	0	0	0	1300	0	0	0	0	0	0	0	0	0	0	0	26	32	0	0	1	0	0	0
input/resources/Account-AbrechnungsfallDRG.json	1589	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	1	0	0	0	24	18	0	0	0	0	0	0
input/resources/Account-AbrechnungsfallGonarthrose.json	598	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	20	11	0	0	0	0	0	0
input/resources/Account-SZ1DRGFall.json	1569	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	22	17	0	0	0	0	0	0
input/resources/Account-SZ2DRGFall.json	1660	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	19	17	0	0	0	0	0	1
input/resources/AllergyIntolerance-ISiKAllergieUnvertraeglichkeitBeispiel1.json	1846	1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	21	26	0	0	0	0	0	0
input/resources/Bundle-BundleExampleIntensivstation.json	20925	7	31	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	44	65	0	0	0	0	0	0
input/resources/Bundle-ISiKBundle-Example.json	5215	3	3	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	26	30	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementAmbulanteStammdatenRolle.json	10373	2	0	0	2	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	56	45	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementAufbaustrukturRolle.json	27338	3	0	0	0	0	0	0	2	91	0	0	0	0	0	0	0	0	0	0	0	111	49	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementBasisServerAkteur-expanded.json	184060	14	0	0	0	0	0	0	10	130	0	0	0	0	0	0	0	1	0	0	0	456	195	0	2	0	8	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementBasisServerAkteur.json	7008	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	23	57	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementCompositionKonsumentenRolle.json	2568	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementErweiterteStammdatenRolle.json	12147	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	36	20	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementGesundheitsstatusRolle.json	28045	4	0	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	0	69	34	0	1	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementImplantatRolle.json	10221	1	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	35	20	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementKlinischeRolle.json	25522	3	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	62	31	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementLeistungserbringerRolle.json	24992	3	0	0	0	0	0	0	2	12	0	0	0	0	0	0	0	0	0	0	0	65	33	0	1	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementStammdatenRolle.json	27894	2	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	75	32	0	1	0	1	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementTerminologieRolle.json	18076	2	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	52	22	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVersicherungsverhaeltnisRolle.json	31487	3	0	0	0	0	0	0	2	16	0	0	0	0	0	0	0	0	0	0	0	78	32	0	1	0	2	0	0
input/resources/CodeSystem-CodeSystemExample.json	889	1	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	11	85	0	0	0	0	0	0
input/resources/CodeSystem-ISiKBehandlungsergebnisRehaCS.json	1013	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	70	0	0	0	0	0	0
input/resources/CodeSystem-ISiKBesondereBehandlungsformRehaCS.json	1135	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	16	63	0	0	0	0	0	0
input/resources/CodeSystem-ISiKEncounterTypeErweiterungCS.json	926	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	57	0	0	0	1	0	0
input/resources/CodeSystem-ISiKEntlassformRehaCS.json	2283	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	16	65	0	0	0	0	0	0
input/resources/CodeSystem-ISiKUnterbrechungRehaCS.json	1269	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	50	0	0	0	0	0	0
input/resources/Composition-CompositionExampleBlutdruck.json	1764	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	0	0	0
input/resources/Condition-AkuteInfektionDerOberenAtemwege.json	812	1	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
input/resources/Condition-AltersbedingteKreislaufstoerung.json	1006	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0
input/resources/Condition-BehandlungsDiagnoseFreitext.json	534	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
input/resources/Condition-Example-condition-ausrufezeichen-primaer.json	880	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
input/resources/Condition-Example-condition-ausrufezeichen-sekundaer.json	1542	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
input/resources/Condition-Example-condition-kreuz-stern-primaer.json	1206	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0
input/resources/Condition-Example-condition-kreuz-stern-sekundaer.json	1640	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
input/resources/Condition-PrimaereGonarthroseMinimal.json	580	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
input/resources/Condition-PrimaereGonarthroseNormal.json	1140	1	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0
input/resources/Condition-SZ2Primaerdiagnose.json	923	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
input/resources/Condition-SZ2Sekundaerdiagnose.json	1057	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	0	0
input/resources/Coverage-CoverageGesetzlich.json	817	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	15	0	0	0	0	0	0
input/resources/Coverage-CoveragePrivat.json	519	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
input/resources/Coverage-CoverageSonstige.json	508	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
input/resources/Coverage-SZ1VersicherungGesetzlich.json	1152	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0
input/resources/Coverage-SZ1VersicherungSelbstzahler.json	519	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
input/resources/Coverage-SZ2VersicherungGesetzlich.json	1165	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0
input/resources/Device-ISiKImplantatHerzschrittmacher.json	817	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	18	0	0	0	0	0	0
input/resources/Device-ISiKImplantatHueftprothese.json	431	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
input/resources/Encounter-Fachabteilungskontakt.json	4310	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	15	22	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktBettenverlegung.json	3005	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktEntlassung.json	2506	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktFachbereichswechsel1.json	3047	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktFachbereichswechsel2.json	2492	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktMinimal2.json	908	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktNormal.json	5208	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	17	25	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktStationaereAufnahme.json	2482	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktStationswechsel1.json	2525	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktStationswechsel2.json	2475	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	12	13	0	0	0	0	0	0
input/resources/Encounter-SZ1Nachstationaer.json	1328	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
input/resources/Encounter-SZ1Stationaer.json	2680	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0
input/resources/Encounter-SZ1Vorstationaer.json	1325	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0
input/resources/Encounter-SZ2Encounter.json	1327	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
input/resources/Encounter-isik-encounter-Sternenfall.json	1489	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0
input/resources/Location-BettenstellplatzStandortBeispiel.json	576	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0
input/resources/Location-KrankenhausStandortBeispiel.json	1183	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0
input/resources/Location-RaumStandortBeispiel.json	485	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
input/resources/Location-StationICUStandortBeispiel.json	1430	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
input/resources/Location-StationPediaICUStandortBeispiel.json	1371	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0
input/resources/Location-StationStandortBeispiel.json	1422	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
input/resources/Location-isik-station-anaesthesie.json	1200	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
input/resources/Observation-ISiKAlkoholAbususBeispiel.json	976	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0
input/resources/Observation-ISiKRaucherStatusBeispiel.json	960	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0
input/resources/Observation-ISiKSchwangerschaftErwarteterEntbindungsterminBeispiel.json	712	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
input/resources/Observation-ISiKSchwangerschaftsstatusBeispiel.json	912	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
input/resources/Observation-ISiKStillstatusBeispiel.json	1044	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	0	0
input/resources/Organization-AbteilungAllgemeinchirurgieOrganisationBeispiel.json	1131	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
input/resources/Organization-KlinikIntensivAnaesthesieOrganisationBeispiel.json	968	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
input/resources/Organization-KlinikPaediatrieOrganisationBeispiel.json	923	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
input/resources/Organization-KrankenhausOrganisationBeispiel.json	556	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
input/resources/Parameters-exp-params.json	151	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
input/resources/Patient-DorisQuelle.json	925	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
input/resources/Patient-DorisZiel.json	922	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
