Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-formular.json	42941	-	0	0	0	0	0	0	14	50	0	0	0	0	0	0	0	0	0	0	0	261	218	0	0	0	0	5	0	2
input/resources/Bundle-BundleExampleIntensivstation.json	20925	15	26	0	0	0	0	0	3	2	0	0	0	0	0	0	0	1	0	0	0	66	87	0	0	0	1	0	0	1
input/resources/Bundle-ISiKBundle-Example.json	5215	5	2	0	0	0	0	0	1	1168	0	0	0	0	0	0	0	0	0	0	0	34	44	0	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementCompositionKonsumentenRolle.json	2451	2	0	0	3	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	29	81	0	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementFormularDatenQuelleAkteur-expanded.json	13764	5	0	0	0	0	0	0	2	37	0	0	0	0	0	0	0	0	0	0	0	74	79	0	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementFormularDatenQuelleAkteur.json	6901	2	0	0	1	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	35	59	0	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementFormularDatenQuelleRolle.json	12033	4	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	0	63	63	0	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementFormularDefinitionsVerwalterRolle.json	13029	3	0	0	0	0	0	0	2	21	0	0	0	0	0	0	0	0	0	0	0	64	69	0	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementFormularExtraktionAkteur-expanded.json	4371	2	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	32	25	0	0	0	0	1	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementFormularExtraktionAkteur.json	3975	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	20	18	0	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementFormularExtraktionRolle.json	2544	1	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	24	20	0	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementFormularVorbelegungAkteur-expanded.json	4367	2	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	25	22	0	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementFormularVorbelegungAkteur.json	3986	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	18	15	0	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementFormularVorbelegungRolle.json	2554	2	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	24	17	0	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCpSFormDefinitionsVerwalterAkteur-expanded.json	14849	4	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	1	0	0	0	50	38	0	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCpSFormDefinitionsVerwalterAkteur.json	4050	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	18	17	0	0	0	0	0	0	0
input/resources/Composition-CompositionExampleBlutdruck.json	1764	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0	0
input/resources/Parameters-exp-params.json	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0	0
input/resources/Questionnaire-DemoTemplatebasedExtractionQuestionnaire.json	15817	7	0	0	0	0	0	0	3	134	0	0	0	0	0	0	0	0	0	0	0	83	66	0	0	0	0	3	0	1
input/resources/Questionnaire-ExampleConditionalItem.json	1941	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	33	26	0	0	0	0	1	0	0
input/resources/Questionnaire-ExampleEntryValidationDecimal.json	3151	2	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	32	27	0	0	0	0	1	0	0
input/resources/Questionnaire-ExampleEntryValidationText.json	2061	1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	31	24	0	0	0	0	0	0	0
input/resources/Questionnaire-ExampleExtractWithUnit.json	3535	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	34	93	0	0	0	0	1	0	0
input/resources/Questionnaire-ExampleInputPatternValidation.json	1671	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	32	17	0	0	0	0	1	0	0
input/resources/Questionnaire-ExampleMdrRelevant.json	2056	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	32	26	0	0	0	0	1	0	0
input/resources/Questionnaire-ExamplePrePopDemo.json	3486	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	37	26	0	0	0	0	1	0	0
input/resources/Questionnaire-ExamplePrePopDemoEnc.json	8488	2	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	0	60	38	0	0	0	0	1	0	1
input/resources/Questionnaire-ExamplePrePopObservation.json	5406	1	0	0	0	0	0	0	0	541	0	0	0	0	0	0	0	0	0	0	0	37	386	0	0	1	0	1	0	0
input/resources/QuestionnaireResponse-ExampleEntryValidationDecimalResponse.json	1239	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	26	42	0	0	0	0	0	0	0
input/resources/QuestionnaireResponse-ExampleExtractWithUnitResponse.json	1153	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	25	26	0	0	0	0	0	0	0
input/resources/StructureDefinition-ExtensionISiKCapabilityStatementImportsExpectation.json	2513	1	0	6	0	0	0	1	0	23	0	0	1	0	0	0	0	1	0	0	0	46	704	0	0	0	0	2	0	0
