Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-medikation.json	70332	-	0	0	0	0	0	0	16	40	0	0	0	0	0	0	0	1	0	0	0	315	392	0	0	0	9	0	2
input/resources/CapabilityStatement-ISiKCapabilityStatementLeistungserbringerRolle.json	24992	5	0	0	2	0	1	0	2	136	0	0	0	0	0	0	0	0	0	0	0	90	96	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikamentRolle.json	13591	3	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	0	53	32	0	0	0	0	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikamentWRITERolle.json	3960	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	25	18	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationInformationAkteur-expanded.json	92778	7	0	0	0	0	0	0	5	78	0	0	0	0	0	0	0	1	0	0	0	248	147	0	1	0	5	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationInformationAkteur.json	5438	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	24	14	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationInformationRolle.json	30734	3	0	0	0	0	0	0	2	18	0	0	0	0	0	0	0	0	0	0	0	90	47	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationInformationWRITERolle.json	4868	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	28	18	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerabreichungAkteur-expanded.json	80677	6	0	0	0	0	0	0	4	45	0	0	0	0	0	0	0	1	0	0	0	211	113	0	0	0	9	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerabreichungAkteur.json	5474	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	24	15	0	0	0	1	0	0
