Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-organspendeerkennung.json	65687	-	0	0	0	0	0	0	19	48	0	0	0	0	0	0	0	1	0	0	0	308	483	0	0	0	9	0	5
input/resources/CapabilityStatement-ISiKCapabilityStatementErweiterteStammdatenRolle.json	12147	5	0	0	2	0	0	0	1	35	0	0	0	0	0	0	0	0	0	0	0	45	81	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementOrganspendeerkennungSourceAkteur-expanded.json	71376	8	0	0	1	0	0	0	4	81	0	0	0	0	0	0	0	0	0	0	0	182	153	0	1	0	6	0	2
input/resources/CapabilityStatement-ISiKCapabilityStatementOrganspendeerkennungSourceAkteur.json	4934	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	22	16	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementOrganspendeerkennungSourceRolle.json	37036	3	0	0	0	0	0	0	2	30	0	0	0	0	0	0	0	0	0	0	0	96	90	0	0	0	3	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementStammdatenRolle.json	27894	3	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	1	0	0	0	82	88	0	1	0	2	0	1
input/resources/CodeSystem-ISiKBehandlungsergebnisRehaCS.json	1013	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	16	123	0	0	0	0	0	0
input/resources/CodeSystem-ISiKBesondereBehandlungsformRehaCS.json	1135	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	17	80	0	0	0	1	0	0
input/resources/CodeSystem-ISiKEncounterTypeErweiterungCS.json	926	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	14	105	0	0	0	0	0	0
input/resources/CodeSystem-ISiKEntlassformRehaCS.json	2283	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	19	94	0	0	0	0	0	0
