URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.de/CodeSystem/KontaktDiagnoseProzedur,1.6.0,active,,KontaktDiagnoseProzedur,KontaktDiagnoseProzedur,"Dieses CodeSystem beschreibt fachliche Rollen von Diagnosen und Prozedurbezügen im Versorgungskontext. Es dient der semantischen Einordnung, welche Relevanz eine Diagnose innerhalb eines Kontakts oder Abrechnungsfalls hat.","ValueSet/DiagnoseTyp,ValueSet/Diagnosesubtyp"
http://fhir.de/CodeSystem/Kontaktebene,1.6.0,active,,Kontaktebene,Kontaktebene,"Dieses CodeSystem beschreibt die Ebene, auf der ein Kontakt mit einer Gesundheitseinrichtung modelliert wird. Es dient der Abgrenzung zwischen Einrichtungs-, Abteilungs- und Versorgungsstellenkontakten.","ValueSet/kontaktebene-de"
http://fhir.de/CodeSystem/common-meta-tag-de,1.6.0,active,,CS_CommonMetaTag_De,CS Basisprofil Common Meta Tag DE,"Dieses CodeSystem enthält gebräuchliche Metadaten-Tags zur Kennzeichnung von FHIR-Ressourcen. Es ist für fachliche Markierungen in `Resource.meta.tag` vorgesehen, die Nachnutzung und Verarbeitung steuern.","ValueSet/common-meta-tag-de"
http://fhir.de/CodeSystem/dgkev/Aufnahmeanlass,1.6.0,active,,CodeSystemAufnahmeanlass,CodeSystemAufnahmeanlass,"Dieses CodeSystem beschreibt den Anlass einer Krankenhausaufnahme gemäß § 301 Abs. 3 SGB V. Es dient der einheitlichen Kennzeichnung des Aufnahmewegs bzw. Aufnahmeanlasses, z. B. Einweisung, Notfall, Verlegung, Geburt oder Mitaufnahme.","ValueSet/AufnahmeanlassVS"
http://fhir.de/CodeSystem/dkgev/Fachabteilungsschluessel,1.6.0,active,,CodeSystemFachabteilungsschluessel,Fachabteilungsschluessel,"Dieses CodeSystem bildet die Fachabteilungsschlüssel gemäß Anhang 1 BPflV in der am 31.12.2003 geltenden Fassung ab. Es dient der fachlichen Zuordnung von Krankenhausbereichen in Verwaltungs-, Abrechnungs- und Versorgungsprozessen.","ValueSet/FachabteilungsschluesselVS"
http://fhir.de/CodeSystem/dkgev/Fachabteilungsschluessel-erweitert,1.6.0,active,,CodeSystemFachabteilungsschluesselErweitert,Fachabteilungsschluessel Erweitert,"Dieses CodeSystem bildet die Fachabteilungsschlüssel gemäß Anhang 1 BPflV in der am 31.12.2003 geltenden Fassung einschließlich Spezialisierungen ab. Es dient einer feineren fachlichen Differenzierung von Krankenhausabteilungen als der Basisschlüssel.","ValueSet/FachabteilungsschluesselErweitert"
http://fhir.de/CodeSystem/kontaktart-de,1.6.0,active,,KontaktArtDe,KontaktArtDe,"Dieses CodeSystem klassifiziert die Art eines Kontakts mit einer Gesundheitseinrichtung. Es dient der fachlichen Differenzierung von Begegnungen, etwa stationär, teilstationär oder konsiliarisch.","ValueSet/ISiKEncounterTypeErweiterungVS"
http://hl7.org/fhir/encounter-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.247",EncounterStatus,EncounterStatus,"Current state of the encounter.","ValueSet/EncounterStatusDe"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/resource-types"
http://hl7.org/fhir/subscription-notification-type,6.0.0,active,"2.16.840.1.113883.4.642.1.1524",SubscriptionNotificationTypeCS,SubscriptionNotificationType,"The type of notification represented by the status message.","ValueSet/subscription-notification-type"
