Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-example.test.ig.json	17279	-	0	0	0	0	0	0	8	76	0	0	0	0	0	0	0	1	0	0	92	106	0	0	0	3	0	1
fsh-generated/resources/Bundle-SubscriptionNotificationBundleExample.json	3395	9	22	0	0	0	0	0	1	851	0	0	0	0	0	0	0	0	0	0	25	46	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementSubscriptionRolle.json	12095	6	1	0	0	0	0	0	1	39	0	0	0	0	0	0	0	0	0	0	65	101	0	0	0	1	0	1
fsh-generated/resources/CapabilityStatement-ISiKCapabilityStatementSubscriptionServerAkteur.json	3726	5	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	28	27	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-TestCapabilityStatement.json	2505	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	35	27	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ISiKSubscriptionTopic.json	4553	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	44	577	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-subscription-notification-type.json	2368	4	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	26	55	0	0	0	1	0	0
fsh-generated/resources/Parameters-ISiKSubscriptionStatusExample.json	1097	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	29	0	0	0	0	0	0
fsh-generated/resources/Patient-DorisQuelle.json	941	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	20	0	0	0	0	0	0
fsh-generated/resources/Patient-DorisZiel.json	938	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	20	0	0	0	0	0	0
fsh-generated/resources/Patient-PatientinMinimal.json	653	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	21	0	0	0	0	0	0
fsh-generated/resources/Patient-PatientinMusterfrau.json	3525	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	23	22	0	0	0	0	0	0
fsh-generated/resources/Patient-PatientinNormal.json	1514	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	21	24	0	0	0	0	0	0
fsh-generated/resources/Patient-example-test-patient.json	428	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	19	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BackportSubscriptionNotificationR4Fixed.json	4947	5	0	104	0	0	0	0	1	33	0	0	1	0	0	0	0	1	0	0	330	928	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-BackportSubscriptionStatusR4Fixed.json	15697	6	0	32	1	0	0	0	0	70	0	0	0	0	0	0	0	1	0	0	544	619	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-ExtensionISiKCapabilityStatementImportsExpectation.json	2545	4	0	20	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	58	174	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ISiKPatient.json	39163	7	0	176	0	0	0	0	0	125	0	0	1	0	0	0	0	1	0	0	1141	1188	0	0	0	27	0	3
fsh-generated/resources/StructureDefinition-ISiKSubscription.json	8688	5	0	113	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	317	327	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-ISiKSubscriptionNotification.json	808	4	0	37	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	245	335	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-ISiKSubscriptionStatus.json	788	5	0	40	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	359	573	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-test-patient.json	914	4	0	49	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	201	268	0	0	0	4	0	1
fsh-generated/resources/Subscription-PatientMergeSubscriptionExample.json	780	4	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	20	26	0	0	0	0	0	0
fsh-generated/resources/ValueSet-FhirMimeTypeVS.json	620	4	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	16	193	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ISiKSubscriptionTopicVS.json	613	4	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	1465	0	0	0	0	0	0
fsh-generated/resources/ValueSet-subscription-notification-type.json	1520	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	19	85	0	0	0	0	0	0
