Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/resources/ImplementationGuide-basis.test.ig.json	6039	-	0	0	0	0	0	0	11	54	0	0	0	0	0	0	0	1	0	0	130	239	0	0	0	11	0	1
input/resources/Account-AbrechnungsfallDRG.json	1736	6	0	0	0	0	0	0	1	927	0	0	0	0	0	0	0	0	0	0	20	28	0	0	0	0	0	0
input/resources/Account-AbrechnungsfallGonarthrose.json	745	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	17	0	0	0	0	0	0
input/resources/Account-SZ1DRGFall.json	1569	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	22	0	0	0	0	0	0
input/resources/Account-SZ2DRGFall.json	1660	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	15	0	0	0	0	0	0
input/resources/AllergyIntolerance-ISiKAllergieUnvertraeglichkeitBeispiel1.json	1861	6	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	11	17	0	0	0	0	0	0
input/resources/Bundle-ISiKBundle-Example.json	5196	4	18	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	39	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementAufbaustrukturRolle.json	23580	5	0	0	1	0	0	0	2	51	0	0	0	0	0	0	0	0	0	0	56	78	0	0	0	4	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementBasisServerAkteur-expanded.json	137114	7	0	0	0	0	0	0	6	121	0	0	0	0	0	0	0	1	0	0	179	228	0	1	0	14	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementBasisServerAkteur.json	6345	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	19	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementCompositionKonsumentenRolle.json	2382	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementErweiterteStammdatenRolle.json	12109	3	0	0	1	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	22	21	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementGesundheitsstatusRolle.json	25996	3	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	39	31	0	0	0	3	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementKlinischeRolle.json	22869	3	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	39	33	0	0	0	2	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementLeistungserbringerRolle.json	13941	3	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	1	0	0	27	27	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementStammdatenRolle.json	21500	4	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	36	33	0	0	0	2	0	0
