Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-amts.json	63000	-	0	0	0	0	0	0	14	62	0	0	0	0	0	0	0	1	0	0	191	203	0	0	0	12	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementAMTSAkteur-expanded.json	146283	16	0	0	1	0	0	0	9	156	0	0	0	0	0	0	0	1	0	0	347	254	0	1	0	12	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementAMTSAkteur.json	6654	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	26	16	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementAMTSRolle.json	23939	3	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	70	38	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementGesundheitsstatusRolle.json	25972	3	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	68	37	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementKlinischeRolle.json	22845	3	0	0	1	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	65	32	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementLaborMinimalRolle.json	13068	2	0	0	0	0	0	0	1	55	0	0	0	0	0	0	0	0	0	0	32	20	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementLeistungserbringerRolle.json	13917	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	44	23	0	1	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikamentRolle.json	9920	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	27	19	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationInformationRolle.json	24182	3	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	53	31	0	0	0	1	0	1
