URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.de/CodeSystem/KontaktDiagnoseProzedur,1.5.4,active,,KontaktDiagnoseProzedur,KontaktDiagnoseProzedur,"Rolle/Relevanz von Diagnosen","ValueSet/DiagnoseTyp,ValueSet/Diagnosesubtyp"
http://fhir.de/CodeSystem/Kontaktebene,1.5.4,active,,Kontaktebene,Kontaktebene,"CodeSystem für die Ebene eines Kontaktes mit einer Gesundheitseinrichtung","ValueSet/kontaktebene-de"
http://fhir.de/CodeSystem/dgkev/Aufnahmeanlass,1.5.4,active,,CodeSystemAufnahmeanlass,CodeSystemAufnahmeanlass,"Aufnahmeanlass, Datenübermittlung nach § 301 Abs. 3 SGB V","ValueSet/AufnahmeanlassVS"
http://fhir.de/CodeSystem/dkgev/AufnahmegrundDritteStelle,1.5.4,active,,AufnahmegrundDritteStelle,AufnahmegrundDritteStelle,"Aufnahmegrund (3. Stelle), Datenübermittlung nach § 301 Abs. 3 SGB V","ValueSet/AufnahmegrundDritteStelleVS"
http://fhir.de/CodeSystem/dkgev/AufnahmegrundErsteUndZweiteStelle,1.5.4,active,,CodeSystemAufnahmegrundErsteUndZweiteStelle,CodeSystemAufnahmegrundErsteUndZweiteStelle,"Aufnahmegrund (1. und 2. Stelle), Datenübermittlung nach § 301 Abs. 3 SGB V","ValueSet/AufnahmegrundErsteUndZweiteStelleVS"
http://fhir.de/CodeSystem/dkgev/AufnahmegrundVierteStelle,1.5.4,active,,AufnahmegrundVierteStelle,AufnahmegrundVierteStelle,"Aufnahmegrund (4. Stelle), Datenübermittlung nach § 301 Abs. 3 SGB V","ValueSet/AufnahmegrundVierteStelleVS"
http://fhir.de/CodeSystem/dkgev/Fachabteilungsschluessel,1.5.4,active,,CodeSystemFachabteilungsschluessel,Fachabteilungsschluessel,"Fachabteilungen gemäß Anhang 1 der BPflV in der am 31.12.2003 geltenden Fassung","ValueSet/FachabteilungsschluesselVS"
http://fhir.de/CodeSystem/dkgev/Fachabteilungsschluessel-erweitert,1.5.4,active,,CodeSystemFachabteilungsschluesselErweitert,Fachabteilungsschluessel Erweitert,"Fachabteilungen gemäß Anhang 1 der BPflV in der am 31.12.2003 geltenden Fassung inkl. Spezialisierungen","ValueSet/FachabteilungsschluesselErweitert"
http://fhir.de/CodeSystem/gender-amtlich-de,1.5.4,active,,GenderAmtlichDE,amtliches Geschlecht,"Codes zur Erfassung des amtlichen Geschlechts auf Basis der Spezifikationen ""XPersonenstand - Elektronische Datenübermittlung im Personenstandswesen"" und ""Kassenärztliche Vereinigung-Datentransfer"" der KBV","ValueSet/ValueSet-GenderOtherDE"
http://fhir.de/CodeSystem/identifier-type-de-basis,1.5.4,active,,IdentifierTypeDeBasis,Identifier Type De Basis,"Liste der Identfikatorentypen des deutschen Basisprofils welche die Standardtypen ergänzen.","ValueSet/identifier-type-de-basis"
