Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/resources/ImplementationGuide-medikation.test.ig.json	4069	-	0	0	0	0	0	0	11	73	0	0	0	0	0	0	0	0	1	0	145	132	0	0	0	7	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementLeistungserbringerRolle.json	13941	8	0	0	0	0	0	0	2	58	0	0	0	0	0	0	0	0	0	0	48	59	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikamentRolle.json	9920	5	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	37	27	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerordnungAkteur-expanded.json	54006	6	0	0	0	0	0	0	3	62	0	0	0	0	0	0	0	1	0	0	131	84	0	0	0	5	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerordnungAkteur.json	4732	3	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	19	15	0	1	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerordnungRolle.json	17272	4	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	53	36	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementStammdatenRolle.json	21500	4	0	0	0	0	0	0	2	28	0	0	0	0	0	0	0	0	0	0	53	43	0	0	0	2	0	1
input/resources/Encounter-Fachabteilungskontakt.json	4310	3	0	0	0	0	0	0	0	937	0	0	0	0	0	0	0	0	0	0	18	30	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktBettenverlegung.json	3005	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktEntlassung.json	2466	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktFachbereichswechsel1.json	3047	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	19	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktFachbereichswechsel2.json	2492	5	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktMinimal2.json	808	4	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktNormal.json	5208	3	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	21	19	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktStationaereAufnahme.json	2482	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	35	9	0	0	0	0	0	0
