Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-Organspendeerkennung.test.ig.json	3480	-	0	0	0	0	0	0	14	70	0	0	0	0	0	0	0	0	0	0	216	190	0	0	0	13	0	1
input/resources/Account-AbrechnungsfallDRG.json	1736	6	0	0	0	0	0	0	1	1277	1	0	0	0	0	0	0	0	0	0	21	18	0	0	0	0	0	0
input/resources/Account-AbrechnungsfallGonarthrose.json	745	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0
input/resources/Account-SZ1DRGFall.json	1569	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	12	0	0	0	0	0	0
input/resources/Account-SZ2DRGFall.json	1660	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	47	0	0	0	0	0	0
input/resources/AllergyIntolerance-ISiKAllergieUnvertraeglichkeitBeispiel1.json	1861	3	0	0	1	0	0	0	1	12	0	0	0	0	0	0	0	1	0	0	16	18	0	0	0	0	0	0
input/resources/Bundle-BundleExampleIntensivstation.json	20975	9	34	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	44	39	0	0	0	0	0	0
input/resources/Bundle-ISiKBundle-Example.json	5196	6	5	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	27	27	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementAufbaustrukturRolle.json	23580	3	0	0	0	0	0	0	2	54	0	0	0	0	0	0	0	0	0	0	75	73	0	0	0	3	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementBasisServerAkteur-expanded.json	137114	8	0	0	0	0	0	0	9	171	0	0	0	0	0	0	0	0	0	0	286	206	0	1	0	13	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementBasisServerAkteur.json	6345	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	21	12	0	0	0	1	0	0
