Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/resources/ImplementationGuide-example.test.ig.json	4223	-	0	0	0	0	0	0	12	75	0	0	0	0	0	0	0	1	0	0	84	106	0	0	0	5	0	3
input/resources/CapabilityStatement-ISiKCapabilityStatementSubscriptionRolle.json	12047	32	0	0	1	0	0	0	2	82	0	0	0	0	0	0	0	0	0	0	47	58	0	0	0	2	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementSubscriptionServerAkteur-expanded.json	13400	30	0	0	0	0	0	0	1	43	0	0	0	0	0	0	0	0	0	0	48	35	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementSubscriptionServerAkteur.json	3710	26	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	12	16	0	0	0	0	0	0
input/resources/CodeSystem-ISiKSubscriptionTopic.json	4537	27	0	0	1	0	0	0	1	23	0	0	1	0	0	0	0	0	0	0	24	619	0	0	0	2	0	0
input/resources/CodeSystem-subscription-notification-type.json	2368	24	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	12	64	0	0	0	1	0	0
input/resources/StructureDefinition-BackportSubscriptionNotificationR4Fixed.json	4899	28	0	152	0	0	0	0	0	56	0	0	0	0	0	0	0	1	0	0	209	1461	0	1	0	13	0	3
input/resources/StructureDefinition-BackportSubscriptionStatusR4Fixed.json	15681	16	0	67	0	0	0	1	1	103	0	0	0	0	0	0	0	2	0	0	352	768	0	0	0	18	0	2
input/resources/StructureDefinition-ExtensionISiKCapabilityStatementImportsExpectation.json	2513	6	0	33	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	32	117	0	0	0	3	0	0
input/resources/StructureDefinition-ISiKSubscription.json	8640	5	0	3378	0	0	1	0	0	37	0	0	0	0	0	0	0	0	0	0	160	340	0	0	0	9	0	1
input/resources/Subscription-PatientMergeSubscriptionExample.json	764	6	0	0	0	0	0	0	0	419	0	0	0	0	0	0	0	0	0	0	8	17	0	0	0	0	0	0
input/resources/ValueSet-FhirMimeTypeVS.json	604	4	0	0	1	0	0	0	0	457	0	0	0	0	0	0	0	0	0	0	8	797	0	0	0	1	0	0
input/resources/ValueSet-ISiKSubscriptionTopicVS.json	581	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	83	0	0	0	0	0	0
input/resources/ValueSet-subscription-notification-type.json	1520	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	47	0	0	0	1	0	0
