Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/resources/ImplementationGuide-basis.json	5969	-	0	0	0	0	0	0	11	55	0	0	0	0	0	0	0	1	0	0	152	192	0	0	0	22	0	1
input/resources/Account-AbrechnungsfallDRG.json	1736	8	0	0	0	0	0	0	1	907	0	0	0	0	0	0	0	0	0	0	14	24	0	0	0	0	0	0
input/resources/Account-AbrechnungsfallGonarthrose.json	745	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0
input/resources/Account-SZ1DRGFall.json	1569	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
input/resources/Account-SZ2DRGFall.json	1660	5	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
input/resources/AllergyIntolerance-ISiKAllergieUnvertraeglichkeitBeispiel1.json	1861	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0
input/resources/Bundle-BundleExampleIntensivstation.json	20975	12	41	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	25	49	0	0	0	0	0	0
input/resources/Bundle-ISiKBundle-Example.json	5196	6	5	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	11	30	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementAufbaustrukturRolle.json	23580	5	0	0	1	0	0	0	2	42	0	0	0	0	0	0	0	0	0	0	37	61	0	0	0	12	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementBasisServerAkteur-expanded.json	137114	13	0	0	0	0	0	0	5	119	0	0	0	0	0	0	0	1	0	0	169	192	0	1	0	15	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementBasisServerAkteur.json	6345	5	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	21	18	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementCompositionKonsumentenRolle.json	2382	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementErweiterteStammdatenRolle.json	12109	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	22	19	0	0	0	2	0	0
