URL,Version,Status,OIDs,Name,Title,Description,Used
http://dvmd.de/fhir/CodeSystem/kdl,2025,active,"1.2.276.0.76.5.553",CodeSystemKDL,CodeSystem Klinische Dokumentenklassen-Liste (Version 2025),"Diese CodeSystem-Ressource definiert alle in der Klinischen Dokumentenklassen-Liste aktuell gültigen Codes.","ValueSet/kdl-vs-2025"
http://hl7.org/fhir/composition-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.242",CompositionStatus,CompositionStatus,"The workflow/clinical status of the composition.","ValueSet/composition-status"
http://hl7.org/fhir/document-reference-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.8",DocumentReferenceStatus,DocumentReferenceStatus,"The status of the document reference.","ValueSet/document-reference-status"
http://hl7.org/fhir/document-relationship-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.245",DocumentRelationshipType,DocumentRelationshipType,"The type of relationship between documents.","ValueSet/document-relationship-type"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/resource-types"
http://ihe-d.de/CodeSystems/DeutscheDokumentenformate,2018-12-14T17:07:12,active,,DeutscheDokumentenformate,Deutsche Dokumentenformate,"","ValueSet/1.2.276.0.76.11.35--20181214170712"
http://ihe-d.de/CodeSystems/DokumentenWarnhinweise,2021-07-06T21:19:41,active,,DokumentenWarnhinweise,Dokumenten Warnhinweise,"","ValueSet/1.2.276.0.76.11.34--20210706211941"
http://ihe-d.de/CodeSystems/FallkontextBeiDokumentenerstellung,2021-07-06T21:19:41,active,,FallkontextBeiDokumentenerstellung,Fallkontext Bei Dokumentenerstellung,"","ValueSet/1.2.276.0.76.11.34--20210706211941"
http://ihe-d.de/CodeSystems/IHEXDSclassCode,2021-06-25T13:44:47,active,,IHEXDSclassCode, IHEXDSclassCode,"","ValueSet/1.2.276.0.76.11.32--20210625134447"
http://ihe-d.de/CodeSystems/IHEXDStypeCode,2020-02-07T07:55:58,active,,IHEXDStypeCode,IHEXDStypeCode,"","ValueSet/1.2.276.0.76.11.38--20200207075558"
