Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ICU.json	73390	-	0	0	0	0	0	0	16	79	0	0	0	0	0	0	0	1	0	0	235	255	0	0	0	25	0	5
input/resources/CapabilityStatement-ISiKCapabilityStatementLaborMinimalRolle.json	13068	9	0	0	1	0	1	0	1	39	0	0	0	0	0	0	0	0	0	0	42	68	0	0	0	3	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementStammdatenRolle.json	21476	6	0	0	0	0	0	0	2	42	0	0	0	0	0	0	0	0	0	0	58	52	0	0	0	7	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceExtendedAkteur-expanded.json	42583	8	0	0	0	0	0	0	2	43	0	0	0	0	0	0	0	1	0	0	111	65	0	1	0	9	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceExtendedAkteur.json	5500	5	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceExtendedRolle.json	20913	6	0	0	1	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	51	29	0	0	0	3	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceMinimalAkteur-expanded.json	4298	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	11	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceMinimalAkteur.json	5563	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceMinimalRolle.json	17241	6	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	45	29	0	1	0	4	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignStandardSourceRolle.json	14191	5	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	37	36	0	0	0	4	0	0
input/resources/CodeSystem-ISiKBehandlungsergebnisRehaCS.json	990	5	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	11	614	0	0	0	1	0	0
input/resources/CodeSystem-ISiKBesondereBehandlungsformRehaCS.json	1112	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	81	0	0	0	0	0	0
input/resources/CodeSystem-ISiKEntlassformRehaCS.json	2260	5	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	16	83	0	0	0	2	0	0
input/resources/CodeSystem-ISiKUnterbrechungRehaCS.json	1246	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	57	0	0	0	2	0	0
input/resources/SearchParameter-Encounter-date-start.json	990	4	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
input/resources/SearchParameter-Encounter-end-date.json	978	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
input/resources/StructureDefinition-ExtensionISiKCapabilityStatementImportsExpectation.json	2513	5	0	9	0	0	0	0	1	67	0	0	0	0	0	0	0	0	0	0	37	797	0	0	0	6	0	0
input/resources/StructureDefinition-ExtensionISiKRehaEntlassung.json	5031	6	0	26	0	0	0	0	0	36	0	0	0	0	0	0	0	1	0	0	108	472	0	0	0	12	0	1
input/resources/StructureDefinition-ISiKAtemfrequenz.json	11611	6	0	114	0	0	0	0	0	56	0	0	0	0	0	0	0	1	0	0	312	18139	0	0	0	53	1	2
input/resources/StructureDefinition-ISiKBlutdruckSystemischArteriell.json	23828	7	0	155	0	0	0	0	0	163	0	0	1	0	0	0	0	4	0	0	603	1440	0	0	0	52	0	1
