Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-medikation.json	48462	-	0	0	0	0	0	0	13	59	0	0	0	0	0	0	0	1	0	0	172	176	0	0	0	7	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementLeistungserbringerRolle.json	13917	6	0	0	0	0	0	0	2	40	0	0	0	0	0	0	0	0	0	0	58	65	0	0	0	2	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikamentRolle.json	9920	6	0	0	1	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	47	33	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationInformationAkteur-expanded.json	25440	4	0	0	0	0	0	0	3	28	0	0	0	0	0	0	0	1	0	0	75	52	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationInformationAkteur.json	4736	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	23	17	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationInformationRolle.json	24182	4	0	0	0	0	0	0	2	21	0	0	0	0	0	0	0	0	0	0	56	49	0	0	0	3	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerabreichungAkteur-expanded.json	17330	3	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	44	25	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerabreichungAkteur.json	4770	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	15	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerabreichungRolle.json	16036	4	0	0	1	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	42	40	0	1	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerordnungAkteur-expanded.json	56409	6	0	0	0	0	0	0	2	46	0	0	0	0	0	0	0	1	0	0	124	102	0	0	0	4	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerordnungAkteur.json	4732	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	24	18	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerordnungRolle.json	17272	3	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	51	40	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementStammdatenRolle.json	21476	4	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	57	52	0	0	0	3	0	0
input/resources/CodeSystem-ISiKBehandlungsergebnisRehaCS.json	990	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	13	525	0	0	0	1	0	0
input/resources/CodeSystem-ISiKBesondereBehandlungsformRehaCS.json	1112	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	62	0	0	0	0	0	0
input/resources/CodeSystem-ISiKEntlassformRehaCS.json	2260	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	65	0	0	0	1	0	0
input/resources/CodeSystem-ISiKMedikationsartCS.json	610	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	11	45	0	0	0	0	0	0
