Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-subscription.json	15080	-	0	0	0	0	0	0	11	77	0	0	0	0	0	0	0	1	0	0	90	139	0	0	0	5	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementSubscriptionRolle.json	12037	25	0	0	1	0	0	0	2	73	0	0	0	0	0	0	0	0	0	0	57	67	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementSubscriptionServerAkteur-expanded.json	13371	23	0	0	0	0	0	0	1	31	0	0	0	0	0	0	0	0	0	0	68	41	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementSubscriptionServerAkteur.json	3672	23	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	24	20	0	0	0	1	0	0
input/resources/CodeSystem-ISiKSubscriptionTopic.json	4537	17	0	0	0	0	0	0	1	22	0	0	1	0	0	0	0	0	0	0	40	535	0	0	0	2	0	0
input/resources/CodeSystem-subscription-notification-type.json	2368	17	0	0	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	22	62	0	0	0	1	0	0
input/resources/StructureDefinition-BackportSubscriptionNotificationR4Fixed.json	4920	20	0	128	0	0	0	0	1	155	0	0	0	0	0	0	0	2	0	0	275	1590	0	0	0	21	0	1
input/resources/StructureDefinition-BackportSubscriptionStatusR4Fixed.json	15702	18	0	47	0	0	0	1	0	75	0	0	0	0	0	0	0	1	0	0	338	694	0	0	0	18	0	1
input/resources/StructureDefinition-ExtensionISiKCapabilityStatementImportsExpectation.json	2513	17	0	21	0	0	0	0	0	37	0	0	1	0	0	0	0	1	0	0	49	93	0	0	0	2	0	0
input/resources/StructureDefinition-ISiKSubscription.json	8634	5	0	4098	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	176	352	0	0	0	9	0	0
input/resources/ValueSet-FhirMimeTypeVS.json	604	3	0	0	0	0	0	0	0	619	0	0	0	0	0	0	0	0	0	0	10	966	0	0	0	1	0	0
input/resources/ValueSet-ISiKSubscriptionTopicVS.json	581	3	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	10	94	0	0	0	3	0	0
input/resources/ValueSet-subscription-notification-type.json	1520	3	0	0	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	12	46	0	0	0	0	0	0
/input/includes/ms-comments-data.html	499	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
/input/includes/artifacts-table-generator-isik.html	2542	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	1107	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	2065	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/ReleaseNotes.md	2132	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/Fallzusammenfuehrung.md	5625	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/FunktionenInteraktionen.md	667	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/Festlegungen.md	2763	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/UseCases.md	3317	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/Akteure.md	297	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/artifacts.md	2928	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/_generate-ms-data.md	81	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/Patientenzusammenfuehrung.md	12113	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	5055	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	31	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	15232	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
