Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-terminplanung.json	35549	-	0	0	0	0	0	0	13	71	0	0	0	0	0	0	0	1	0	0	162	157	0	0	0	7	0	1
input/resources/Appointment-ISiKTerminExample.json	1351	5	0	0	0	0	0	0	0	444	0	0	0	0	0	0	0	0	0	0	20	27	0	0	0	0	0	0
input/resources/Appointment-ISiKTerminExampleExtendedICU.json	1498	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	20	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementStammdatenRolle.json	21476	6	0	0	0	0	0	0	2	55	0	0	0	0	0	0	0	0	0	0	69	77	0	0	0	2	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementTerminRepositoryAkteur-expanded.json	71698	6	0	0	0	0	0	0	6	86	0	0	0	0	0	0	0	0	0	0	215	119	0	1	0	4	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementTerminRepositoryAkteur.json	4268	3	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	22	17	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementTerminRepositoryRolle.json	36915	5	0	0	0	0	0	0	3	30	0	0	0	0	0	0	0	0	0	0	87	53	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementTerminologieRolle.json	15437	4	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	1	0	0	42	31	0	0	0	2	0	0
input/resources/CodeSystem-CodeSystemExample.json	890	3	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	10	455	0	0	0	0	0	0
input/resources/CodeSystem-ISiKBehandlungsergebnisRehaCS.json	990	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	54	0	0	0	0	0	0
input/resources/CodeSystem-ISiKBesondereBehandlungsformRehaCS.json	1112	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	11	50	0	0	0	1	0	0
input/resources/CodeSystem-ISiKEntlassformRehaCS.json	2260	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	14	52	0	0	0	0	0	0
input/resources/CodeSystem-ISiKUnterbrechungRehaCS.json	1246	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	42	0	0	0	1	0	0
input/resources/Encounter-Fachabteilungskontakt.json	4310	4	0	0	0	0	0	0	1	1102	0	0	0	0	0	0	0	0	0	0	19	30	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktBettenverlegung.json	3005	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktEntlassung.json	2466	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktFachbereichswechsel1.json	3047	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktFachbereichswechsel2.json	2492	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	17	13	0	0	0	0	0	0
input/resources/Encounter-FachabteilungskontaktMinimal2.json	808	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0
