Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ICU.json	95246	-	0	0	0	0	0	0	17	95	0	0	0	0	0	0	0	3	0	0	282	338	0	0	0	28	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementLaborMinimalRolle.json	13068	7	0	0	0	0	0	1	1	38	0	0	0	0	0	0	0	0	0	0	48	55	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementStammdatenRolle.json	21476	8	0	0	0	0	0	0	2	42	0	0	0	0	0	0	0	0	0	0	62	45	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceExtendedAkteur-expanded.json	54035	5	0	0	0	0	0	0	4	44	0	0	0	0	0	0	0	1	0	0	120	56	0	1	0	5	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceExtendedAkteur.json	5500	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	20	8	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceExtendedRolle.json	20913	4	0	0	1	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	54	27	0	0	0	4	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceMinimalAkteur-expanded.json	44391	4	0	0	0	0	0	0	3	38	0	0	0	0	0	0	0	0	0	0	101	53	0	1	0	11	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceMinimalAkteur.json	5563	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignICUSourceMinimalRolle.json	17241	3	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	43	25	0	1	0	3	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVitalSignStandardSourceRolle.json	14191	4	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	38	23	0	0	0	1	0	0
input/resources/CodeSystem-ISiKBehandlungsergebnisRehaCS.json	990	2	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	12	504	0	0	0	1	0	0
input/resources/CodeSystem-ISiKBesondereBehandlungsformRehaCS.json	1112	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	12	55	0	0	0	4	0	0
