Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-basis.json	73176	-	0	0	0	0	0	0	20	56	0	0	0	0	0	0	0	1	0	0	219	276	0	0	0	14	0	1
input/resources/Account-AbrechnungsfallDRG.json	1736	5	0	0	0	0	0	0	0	858	0	0	0	0	0	0	0	0	0	0	19	16	0	0	0	0	0	0
input/resources/Account-AbrechnungsfallGonarthrose.json	745	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
input/resources/Account-SZ1DRGFall.json	1569	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
input/resources/Account-SZ2DRGFall.json	1660	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
input/resources/AllergyIntolerance-ISiKAllergieUnvertraeglichkeitBeispiel1.json	1861	3	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	12	21	0	0	0	0	0	0
input/resources/Bundle-BundleExampleIntensivstation.json	20975	10	29	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	40	42	0	0	0	0	0	0
input/resources/Bundle-ISiKBundle-Example.json	5196	5	4	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	15	21	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementAufbaustrukturRolle.json	23556	3	0	0	1	0	0	0	2	72	0	0	0	0	0	0	0	0	0	0	58	61	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementBasisServerAkteur-expanded.json	143866	10	0	0	0	0	0	0	6	219	0	0	0	0	0	0	0	1	0	0	286	160	0	1	0	9	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementBasisServerAkteur.json	6321	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	18	15	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementCompositionKonsumentenRolle.json	2358	2	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementErweiterteStammdatenRolle.json	12085	3	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	38	22	0	0	0	1	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementGesundheitsstatusRolle.json	25972	4	0	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	56	34	0	0	0	2	0	0
