Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-medikation.json	58735	-	0	0	0	0	0	0	16	70	0	0	0	0	0	0	0	1	0	0	218	202	0	0	0	19	0	5
input/resources/CapabilityStatement-ISiKCapabilityStatementLeistungserbringerRolle.json	13917	9	0	0	1	0	1	0	2	49	0	0	0	0	0	0	0	1	0	0	50	61	0	1	0	3	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikamentRolle.json	9920	6	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	45	27	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationInformationAkteur-expanded.json	63009	9	0	0	0	0	0	0	5	72	0	0	0	0	0	0	0	0	0	0	208	104	0	0	0	8	0	2
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationInformationAkteur.json	4736	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	23	17	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationInformationRolle.json	24182	6	0	0	1	0	0	0	2	20	0	0	0	0	0	0	0	0	0	0	64	47	0	0	0	3	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerabreichungAkteur-expanded.json	54899	7	0	0	0	0	0	0	2	48	0	0	0	0	0	0	0	0	0	0	127	81	0	1	0	7	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerabreichungAkteur.json	4770	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	18	17	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerabreichungRolle.json	16036	5	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	41	29	0	0	0	2	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerordnungAkteur-expanded.json	56115	8	0	0	0	0	0	0	3	40	0	0	0	0	0	0	0	0	0	0	122	124	0	0	0	7	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerordnungAkteur.json	4732	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	17	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementMedikationVerordnungRolle.json	17272	6	0	0	1	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	43	38	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementStammdatenRolle.json	21476	5	0	0	0	0	0	0	1	39	0	0	0	0	0	0	0	0	0	0	53	48	0	0	0	3	0	1
input/resources/CodeSystem-ISiKBehandlungsergebnisRehaCS.json	990	4	0	0	0	0	0	0	0	13	0	0	1	0	0	0	0	0	0	0	12	495	0	0	0	1	0	0
input/resources/CodeSystem-ISiKBesondereBehandlungsformRehaCS.json	1112	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	60	0	0	0	0	0	0
input/resources/CodeSystem-ISiKEntlassformRehaCS.json	2260	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	58	0	0	0	1	0	0
input/resources/CodeSystem-ISiKMedikationsartCS.json	610	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	41	0	0	0	1	0	0
input/resources/CodeSystem-ISiKUnterbrechungRehaCS.json	1246	4	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	12	43	0	0	0	0	0	0
