Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-formular.json	4735	-	0	0	1	1	0	0	13	88	0	0	0	0	0	0	0	1	0	0	157	78	0	0	0	0	6	0	0
input/resources/Bundle-BundleExampleIntensivstation.json	20975	17	39	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	50	62	0	0	0	0	0	0	1
input/resources/Bundle-ISiKBundle-Example.json	5196	8	6	0	0	0	0	0	1	1763	0	0	0	0	0	0	0	0	0	0	22	35	0	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementCompositionKonsumentenRolle.json	2382	9	1	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	17	40	0	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementFormularDatenQuelleAkteur-expanded.json	12431	6	0	0	1	0	0	0	1	60	0	0	0	0	0	0	0	0	0	0	41	46	0	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementFormularDatenQuelleAkteur.json	4447	6	0	0	0	0	0	0	1	33	0	0	0	0	0	0	0	0	0	0	19	18	0	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementFormularDatenQuelleRolle.json	10689	6	0	0	0	0	0	0	1	43	0	0	0	0	0	0	0	0	0	0	37	32	0	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementFormularDefinitionsVerwalterAkteur-expanded.json	13616	6	0	0	0	0	0	0	1	40	0	0	0	0	0	0	0	0	0	0	43	43	0	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementFormularDefinitionsVerwalterAkteur.json	4190	5	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	1	0	0	22	18	0	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementFormularDefinitionsVerwalterRolle.json	11685	6	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	40	29	0	0	1	0	2	0	0
input/resources/Questionnaire-DemoTemplatebasedExtractionQuestionnaire.json	15928	8	0	0	0	0	0	0	2	140	0	0	0	0	0	0	0	0	0	0	75	62	0	0	0	0	3	0	0
input/resources/Questionnaire-ExampleConditionalItem.json	1948	7	0	0	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	29	27	0	0	0	0	1	0	0
input/resources/Questionnaire-ExampleEntryValidationDecimal.json	3128	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	34	28	0	0	0	0	1	0	0
input/resources/Questionnaire-ExampleEntryValidationText.json	2038	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	28	33	0	0	0	0	1	0	0
input/resources/Questionnaire-ExampleExtractWithUnit.json	3511	6	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	30	33	0	0	0	0	1	0	0
input/resources/Questionnaire-ExampleInputPatternValidation.json	1648	6	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	29	26	0	0	0	0	1	0	0
input/resources/Questionnaire-ExampleMdrRelevant.json	2117	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	33	22	0	0	0	0	1	0	0
