Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-Organspendeerkennung.json	60546	-	0	0	0	0	0	0	14	112	0	0	0	0	0	0	0	0	0	0	223	224	0	0	0	9	0	1
input/resources/Account-AbrechnungsfallDRG.json	1736	5	0	0	1	0	0	0	1	1209	0	0	0	0	0	0	0	0	0	0	21	25	0	0	0	0	0	0
input/resources/Account-AbrechnungsfallGonarthrose.json	745	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
input/resources/Account-SZ1DRGFall.json	1569	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	1
input/resources/Account-SZ2DRGFall.json	1660	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
input/resources/AllergyIntolerance-ISiKAllergieUnvertraeglichkeitBeispiel1.json	1861	3	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	13	17	0	0	0	0	0	0
input/resources/Bundle-BundleExampleIntensivstation.json	20975	9	33	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	42	56	0	0	0	0	0	0
input/resources/Bundle-ISiKBundle-Example.json	5196	4	5	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	23	25	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementAufbaustrukturRolle.json	23580	4	0	0	0	0	0	0	1	46	0	0	0	0	0	0	0	0	0	0	63	71	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementBasisServerAkteur-expanded.json	137114	11	0	0	1	0	0	0	6	122	0	0	0	0	0	0	0	0	0	0	277	211	0	1	0	12	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementBasisServerAkteur.json	6345	6	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	19	22	0	0	0	0	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementCompositionKonsumentenRolle.json	2382	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	16	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementErweiterteStammdatenRolle.json	12109	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	33	33	0	0	0	1	0	1
input/resources/CapabilityStatement-ISiKCapabilityStatementGesundheitsstatusRolle.json	25996	8	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	1	0	0	58	47	0	1	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementKlinischeRolle.json	22869	8	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	53	30	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementLeistungserbringerRolle.json	13941	7	0	0	1	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	42	29	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementStammdatenRolle.json	21500	7	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	52	36	0	0	0	2	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementTerminologieRolle.json	15475	7	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	43	29	0	0	0	1	0	0
input/resources/CapabilityStatement-ISiKCapabilityStatementVersicherungsverhaeltnisRolle.json	27547	7	0	0	0	0	0	0	1	29	0	0	0	0	0	0	0	0	0	0	62	43	0	0	0	2	0	1
input/resources/CodeSystem-CodeSystemExample.json	890	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	11	506	0	0	0	1	0	0
input/resources/Condition-AltersbedingteKreislaufstoerung.json	1006	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	22	0	0	0	0	0	0
input/resources/Condition-BehandlungsDiagnoseFreitext.json	534	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0
input/resources/Condition-Example-condition-ausrufezeichen-primaer.json	880	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0
input/resources/Condition-Example-condition-ausrufezeichen-sekundaer.json	1542	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0
input/resources/Condition-Example-condition-kreuz-stern-primaer.json	1206	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	17	0	0	0	0	0	0
input/resources/Condition-Example-condition-kreuz-stern-sekundaer.json	1640	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	18	0	0	0	0	0	0
input/resources/Condition-MittelgradigeIntelligenzminderung.json	786	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	15	0	0	0	0	0	0
input/resources/Condition-PrimaereGonarthroseMinimal.json	580	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
input/resources/Condition-PrimaereGonarthroseNormal.json	1140	5	0	0	0	0	0	0	0	484	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0
input/resources/Condition-SZ2Primaerdiagnose.json	923	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0
input/resources/Condition-SZ2Sekundaerdiagnose.json	1057	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	16	0	0	0	0	0	0
